,Scheduled Date,City,IATA,Airline,Flight,Operation,Scheduled Time,Terminal,Status,Real Date,Real Time,Gate
0,2019-12-13,Buenos Aires,(EZE),Iberia ,IB2601,Departure,01:30,1, Landed - On-time,2019-12-13,01:20,D16
1,2019-12-13,Palma Mallorca,(PMI),Swiftair,WT112,Departure,04:30,, En Route,2019-12-13,04:30,-
2,2019-12-13,Algiers,(ALG),Vueling ,VY7476,Departure,06:00,1, Landed - On-time,2019-12-13,05:52,D13
3,2019-12-13,Algiers,(ALG),Iberia ,IB5682,Departure,06:00,1, Landed - On-time,2019-12-13,05:52,D13
4,2019-12-13,Amsterdam,(AMS),KLM ,KL1662,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
5,2019-12-13,Amsterdam,(AMS),China Airlines ,CI9394,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
6,2019-12-13,Amsterdam,(AMS),China Southern Airlines ,CZ7795,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
7,2019-12-13,Amsterdam,(AMS),Delta Air Lines ,DL9678,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
8,2019-12-13,Amsterdam,(AMS),Etihad Airways ,EY7354,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
9,2019-12-13,Amsterdam,(AMS),Gol ,G35681,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
10,2019-12-13,Amsterdam,(AMS),Garuda Indonesia ,GA9247,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
11,2019-12-13,Amsterdam,(AMS),Kenya Airways ,KQ1662,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
12,2019-12-13,Amsterdam,(AMS),Xiamen Airlines ,MF9680,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
13,2019-12-13,Amsterdam,(AMS),China Eastern Airlines ,MU1840,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
14,2019-12-13,Amsterdam,(AMS),UIA ,PS9432,Departure,06:00,1, Landed - On-time,2019-12-13,06:03,A19
15,2019-12-13,Frankfurt,(FRA),Lufthansa ,LH1139,Departure,06:00,1, Landed - On-time,2019-12-13,05:56,B52
16,2019-12-13,Frankfurt,(FRA),Air Canada ,AC9183,Departure,06:00,1, Landed - On-time,2019-12-13,05:56,B52
17,2019-12-13,Frankfurt,(FRA),SAS ,SK3391,Departure,06:00,1, Landed - On-time,2019-12-13,05:56,B52
18,2019-12-13,Frankfurt,(FRA),Oman Air ,WY5539,Departure,06:00,1, Landed - On-time,2019-12-13,05:56,B52
19,2019-12-13,Bologna,(BLQ),Vueling ,VY6524,Departure,06:10,1, Landed - On-time,2019-12-13,06:07,B34
20,2019-12-13,Bologna,(BLQ),Iberia ,IB5607,Departure,06:10,1, Landed - On-time,2019-12-13,06:07,B34
21,2019-12-13,Bologna,(BLQ),Qatar Airways ,QR3650,Departure,06:10,1, Landed - On-time,2019-12-13,06:07,B34
22,2019-12-13,Florence,(FLR),Vueling ,VY6001,Departure,06:15,1, Landed - On-time,2019-12-13,06:15,A17
23,2019-12-13,Florence,(FLR),British Airways ,BA8158,Departure,06:15,1, Landed - On-time,2019-12-13,06:15,A17
24,2019-12-13,Florence,(FLR),Iberia ,IB5505,Departure,06:15,1, Landed - On-time,2019-12-13,06:15,A17
25,2019-12-13,Florence,(FLR),Qatar Airways ,QR3576,Departure,06:15,1, Landed - On-time,2019-12-13,06:15,A17
26,2019-12-13,Brussels,(BRU),Ryanair ,FR2918,Departure,06:20,2, Landed - On-time,2019-12-13,06:20,U33
27,2019-12-13,Paris,(CDG),Air France ,AF1449,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
28,2019-12-13,Paris,(CDG),Aeromexico ,AM6009,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
29,2019-12-13,Paris,(CDG),China Southern Airlines ,CZ7062,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
30,2019-12-13,Paris,(CDG),Delta Air Lines ,DL8445,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
31,2019-12-13,Paris,(CDG),Gol ,G35206,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
32,2019-12-13,Paris,(CDG),Air Serbia ,JU7812,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
33,2019-12-13,Paris,(CDG),Kenya Airways ,KQ3049,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
34,2019-12-13,Paris,(CDG),Air Mauritius ,MK9543,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
35,2019-12-13,Paris,(CDG),China Eastern Airlines ,MU8636,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
36,2019-12-13,Paris,(CDG),Air Europa ,UX2208,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
37,2019-12-13,Paris,(CDG),Vietnam Airlines ,VN3679,Departure,06:20,1, Landed - On-time,2019-12-13,06:23,B68
38,2019-12-13,Milan,(BGY),Ryanair ,FR6353,Departure,06:25,2, Landed - On-time,2019-12-13,06:23,S24
39,2019-12-13,Cologne,(CGN),Ryanair ,FR2511,Departure,06:25,2, Landed - On-time,2019-12-13,06:33,R13
40,2019-12-13,Rome,(FCO),Alitalia ,AZ75,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
41,2019-12-13,Rome,(FCO),Aerolineas Argentinas ,AR7225,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
42,2019-12-13,Rome,(FCO),China Southern Airlines ,CZ7397,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
43,2019-12-13,Rome,(FCO),Delta Air Lines ,DL6596,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
44,2019-12-13,Rome,(FCO),Etihad Airways ,EY2821,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
45,2019-12-13,Rome,(FCO),Bulgaria Air ,FB1728,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
46,2019-12-13,Rome,(FCO),Hainan Airlines ,HU8664,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
47,2019-12-13,Rome,(FCO),Air Serbia ,JU7265,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
48,2019-12-13,Rome,(FCO),Middle East Airlines ,ME2075,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
49,2019-12-13,Rome,(FCO),Air Europa ,UX3124,Departure,06:25,1, Landed - On-time,2019-12-13,06:19,B44
50,2019-12-13,Ibiza,(IBZ),Ryanair ,FR8136,Departure,06:25,2, Landed - On-time,2019-12-13,06:25,U41
51,2019-12-13,Paris,(BVA),Ryanair ,FR6374,Departure,06:35,2, Landed - On-time,2019-12-13,06:45,U31
52,2019-12-13,Rome,(FCO),Ryanair ,FR6341,Departure,06:35,2, Landed - On-time,2019-12-13,06:39,S25
53,2019-12-13,Geneva,(GVA),easyJet ,U21402,Departure,06:35,2, Landed - On-time,2019-12-13,06:24,-
54,2019-12-13,Berlin,(SXF),Ryanair ,FR149,Departure,06:35,2, Landed - On-time,2019-12-13,06:39,R14
